Date,Open,High,Low,Close,Volume
2026-04-20,55.50,55.90,52.45,54.55,4317
2026-04-21,56.55,56.55,52.55,54.90,15316
2026-04-22,56.45,56.45,52.75,53.20,14406
2026-04-23,53.00,54.80,52.35,53.65,24741
2026-04-24,54.95,54.95,52.20,52.70,16921
2026-04-27,54.00,54.55,52.25,54.10,10368
2026-04-28,54.10,55.45,53.00,53.65,5782
2026-04-29,54.85,56.85,53.10,53.65,7992
2026-04-30,53.40,54.70,53.20,53.55,4126
2026-05-04,51.10,54.25,51.10,52.92,8733
2026-05-05,52.90,53.45,52.35,52.35,3338
2026-05-06,52.80,54.42,52.52,52.89,18457
2026-05-07,53.89,59.00,52.90,57.34,27204
2026-05-08,57.34,59.50,53.31,54.74,47920
2026-05-11,57.25,57.25,52.61,53.39,35753
2026-05-12,53.39,54.84,52.10,53.43,26545
2026-05-13,53.99,55.59,52.11,53.60,9209
2026-05-14,54.95,55.89,53.50,54.04,13474
2026-05-15,55.49,55.49,53.20,53.50,5371
2026-05-18,54.30,54.30,51.24,52.66,7005
2026-05-19,53.01,53.96,51.53,52.60,7027
2026-05-20,52.30,53.29,52.10,52.41,3800
2026-05-21,53.60,55.50,51.13,53.16,9355
2026-05-22,53.15,53.89,52.50,52.59,854
2026-05-25,52.59,58.45,52.59,56.43,37550
2026-05-26,58.95,58.95,55.00,55.28,10824
2026-05-27,55.00,58.45,53.15,56.62,41209
2026-05-29,56.62,61.50,54.35,56.38,101229
2026-06-01,54.60,60.43,54.60,56.44,111470
2026-06-02,56.50,58.65,56.10,57.04,10630
2026-06-03,57.05,59.44,55.44,57.48,12102
2026-06-04,56.51,58.12,56.51,57.12,7717
2026-06-05,57.00,57.79,54.99,55.91,10085
2026-06-08,55.01,55.89,53.40,53.84,3881
2026-06-09,54.90,55.00,52.80,53.70,13472
2026-06-10,53.70,54.43,53.50,53.68,2242
2026-06-11,54.00,56.95,52.31,53.36,22254
2026-06-12,54.88,56.39,53.74,54.35,6020
2026-06-15,54.25,55.78,54.14,54.55,10972
2026-06-16,54.55,55.83,53.00,53.81,8798
2026-06-17,54.06,55.19,53.30,53.96,5905
2026-06-18,54.44,55.50,53.58,55.41,5857
2026-06-19,55.42,55.42,53.53,54.10,4531
2026-06-22,55.10,55.49,54.50,55.00,19229
2026-06-23,54.25,57.00,50.56,53.17,27657
2026-06-24,54.20,55.80,53.23,54.12,11771
2026-06-25,54.05,54.05,52.55,53.19,21058
2026-06-29,54.64,54.64,52.60,52.86,1800
2026-06-30,54.29,54.29,52.25,52.57,8565
2026-07-01,53.98,53.98,52.56,53.65,5056
2026-07-02,53.50,53.65,52.33,53.42,7959
2026-07-03,53.90,54.90,52.66,53.11,4279
2026-07-06,53.00,54.90,52.72,52.88,10396
2026-07-07,53.00,53.48,52.00,52.32,6044
2026-07-08,53.37,53.70,51.25,52.08,9931
2026-07-09,52.10,53.70,51.86,52.49,8118
2026-07-10,52.51,53.60,52.51,52.70,4831
2026-07-13,53.40,53.49,52.30,52.61,6939
2026-07-14,52.34,53.25,51.06,51.88,16421
2026-07-15,51.88,52.95,51.25,51.50,4710
2026-07-16,52.00,52.80,50.60,52.69,8271
2026-07-17,53.00,53.00,51.00,52.08,10924
2026-07-20,52.97,52.97,51.00,51.65,3801
2026-07-21,51.70,52.80,50.09,51.03,11342
2026-07-22,52.23,52.23,50.25,51.19,6414
2026-07-23,51.80,51.86,50.01,50.10,13452
2026-07-24,50.11,50.89,50.00,50.63,3890
2026-07-27,50.31,52.75,49.11,50.94,9920
2026-07-28,50.94,51.74,47.50,49.31,14744
2026-07-29,49.90,50.84,49.01,49.84,1826
2026-07-30,49.00,50.83,46.55,49.26,14982
2026-07-31,48.08,49.98,47.43,49.71,11100
2026-08-03,49.71,50.48,48.50,49.97,6976
2026-08-04,50.00,50.74,49.65,49.73,5339
2026-08-05,49.21,52.50,49.12,51.51,10154
2026-08-06,55.00,61.81,51.49,61.72,268108
2026-08-07,65.95,74.06,65.95,74.06,1820404
2026-08-10,71.00,71.73,66.66,66.66,626165
2026-08-11,66.84,66.84,60.00,60.00,320485
2026-08-12,60.90,63.80,57.99,60.67,131149
2026-08-13,61.29,61.50,58.50,60.83,62516
2026-08-14,61.90,61.90,58.00,58.80,40997
2026-08-17,59.90,59.98,55.86,56.46,100723
2026-08-18,56.95,56.95,53.66,54.84,51664
2026-08-19,55.50,56.47,55.15,55.85,33861
2026-08-20,55.85,57.50,55.11,55.85,133078
2026-08-21,55.85,56.50,54.61,55.66,103856
2026-08-24,57.00,57.00,52.88,53.55,88185
2026-08-25,53.00,55.00,53.00,54.80,21991
2026-08-26,55.07,55.95,53.60,54.96,35697
2026-08-27,56.00,56.00,53.86,54.97,29181
2026-08-28,53.75,55.00,53.51,54.14,22444
2026-08-31,54.13,54.99,53.50,54.04,17574
2026-09-01,54.18,55.80,54.14,55.48,16416
2026-09-02,56.00,58.25,54.91,57.93,50178
2026-09-03,57.93,59.50,57.93,58.65,32048
2026-09-04,59.45,59.45,57.93,58.28,18933
2026-09-07,58.95,59.00,57.52,58.53,29282
2026-09-08,59.45,59.90,57.11,57.84,16231
2026-09-09,57.15,58.95,54.95,56.36,42516
2026-09-10,55.63,56.37,55.00,55.24,20126
2026-09-11,55.89,55.89,53.11,53.53,26131
2026-09-15,54.00,55.95,53.01,53.98,13896
2026-09-16,55.55,55.55,51.67,52.41,13515
2026-09-17,52.41,53.29,52.00,52.22,7334
2026-09-18,52.74,53.69,52.00,52.77,7433
